article,candidate,score,publishedAt
hit promise mass deportation candidate break battleground state presidential candidate typically focus much travel battleground state wednesday taking message somewhat unlikely place suburban new york,Donald Trump,-0.1027,2024-09-18T11:08:51Z
today lucky day cnn conservative put spot mark robinson scandal cnns scott jennings drew unenviable assignment providing conservative defense embattled north carolina gubernatorial candidate mark robinson report emerged shocking comment made year ago smutty online forumthe trum,Donald Trump,-0.0258,2024-09-20T10:54:43Z
vance done time medium historically reclusive harriswalz ticket running mate senator jd vance done time medium democratic counterpart post vance done time medium historically reclusive harriswalz ticket first appeared,Donald Trump,0.0,2024-09-19T13:45:03Z
say israel eradicated loses told largely jewish audience new york thursday israel wiped face doesnt win november abc news reportshe pointed wa leading poll among jewish voter democ,Donald Trump,-0.3182,2024-09-20T01:34:13Z
teamster skip presidential endorsement member poll pick polling membership finding majority support reelection former president international brotherhood teamster ha chosen skip endorsement election cycle,Donald Trump,0.3182,2024-09-18T21:41:39Z
georgia ready vote female president month ago wa looking like georgia locked upbrbrnow race georgia play democrat state ha never elected female governor female u senatorbrbr fa,Donald Trump,0.3612,2024-09-20T21:06:37Z
texas jury clear train surrounding bidenharris bus guardian guardian texas jury clear train surrounding bidenharris bus onboard bus alleged terrorised minute calling also yield help federal jury texas monday cleared gr,Donald Trump,0.3818,2024-09-23T22:45:02Z
republican national security leader endorse vice president reaganbushmccainromneyreagan bush reaganbushmccainromney reagan bush republican national security leader endorse vice president trusted support defend constitution united state enemy foreign domestic,Donald Trump,0.5719,2024-09-18T14:20:00Z
taking brief break campaigning battleground state meg kinnard presidential candidate typically focus much travel battleground state wednesday taking message somewhat unlikely place suburban new york republican presidential nominee former president,Donald Trump,-0.4019,2024-09-18T11:08:51Z
democrat privately worry teamster nonendorsement warning sign politico politico democrat privately worry teamster nonendorsement warning sign still ha work win older white workingclass voter make large portion electorate rust belt philadelphia eight year,Donald Trump,-0.6486,2024-09-20T19:55:05Z
undecided voter explain havent picked side election domenico montanaronpr domenico montanaro npr undecided voter explain havent picked side election people decided going vote former president well known polarizing people either love hate,Donald Trump,-0.2263,2024-09-19T20:25:00Z
speaks publicly first time since gunman arrest blame biden rhetoric ha spoken publicly first time since latest attempt life sunday calling much better result wa shot july,Donald Trump,-0.5859,2024-09-17T05:51:52Z
total outrage dem sen blumenthal blast bidenharris admin stonewalling assassination probe democratic sen richard blumenthal conn tuesday slammed bidenharris administration effectively stonewalling congressional effort investigate assassination attempt republican nominee post total outrage dem sen,Donald Trump,-0.802,2024-09-17T21:45:28Z
surrogate sen coon dodge question ducking interview vice president say yes let another presidential debate said agree nationally televised debate one way answer question post surrogate sen coon dodge question,Donald Trump,0.0,2024-09-24T19:00:30Z
bidens billion investment hbcus mean close election day appealing black voter close presidential race bidenharris administration former president touted hbcu funding,Donald Trump,0.0,2024-09-24T12:00:00Z
ittrump appears rule running president loses ha said doe think run president loses year u election,Donald Trump,-0.3182,2024-09-23T06:50:00Z
victor davis hanson warns two thing stop assassination attempt hoover institution senior fellow victor davis hanson warned podcast bidenharris administration secret service prevent assassination attempt former president,Donald Trump,-0.7579,2024-09-20T00:00:00Z
dark rhetoric playing roulette real human financial time column financial time columnist edward luce belief former president sen jd vance roh making explicit ethnonationalism center campaign sure losing betin latest column luce outline,Donald Trump,0.2023,2024-09-18T13:59:27Z
want second debate letter editor sept ny post reader discus vice president desire second presidential debate cnn,Donald Trump,0.0772,2024-09-24T20:58:17Z
teamster president obrien tacitly endorses hundred thousand member defy obrien support leadership millionmember teamster union official ha endorsement teamster president sean obrien ha tacitly endorsed presidentby attending speaking teamster convention ensuring union execut,Donald Trump,0.6249,2024-09-20T05:50:56Z
brave steve scalise combat wokeness amid looming govt shutdown government shutdown looming less two week presidential election november gop louisiana rep steve scalise springing action going check note wokeness sound right since house republican,Donald Trump,0.128,2024-09-19T15:48:58Z
jury clear train driver federal jury texas monday cleared group supporter found one driver liable civil trial socalled train surrounded bidenharris campaign bus day election twoweek trial federal,Donald Trump,0.3818,2024-09-23T22:26:00Z
slam harrisbiden admin mishandling second assassination attempt slap wrist former president claimed monday harrisbiden administration mishandling downplaying second assassination attempt life,Donald Trump,-0.7096,2024-09-23T20:24:13Z
fbi say may never know motivation wouldbe assassin wa bidenharris supporter donated democrat time west palm beach fl investigation second assassination attempt former president continued federal bureau investigation said may never know motivation wouldbe assassin wa bidenharris supporter,Donald Trump,0.0165,2024-09-17T20:50:15Z
outstanding enthusiastic praise mark robinson recirculates candidate black nazi brag revealed mark robinson therepublican nominee governor north carolina wa exposed thursday afternoon extensive comment history pornography forum called nude africa called black nazi attacked martin luther king jr repeatedly,Donald Trump,0.8957,2024-09-19T21:10:48Z
jury reject voter intimidation claim train driver bidenharris bus encounter federal jury texas monday rejected voter intimidation allegation one group former president supporter whosurrounded bidenharris campaign bus,Donald Trump,-0.6705,2024-09-24T11:26:52Z
